"country","n","url"
"United Kingdom",90,"database.html?q=country_United Kingdom"
"Australia",73,"database.html?q=country_Australia"
"USA",73,"database.html?q=country_USA"
"China",51,"database.html?q=country_China"
"Japan",49,"database.html?q=country_Japan"
"Spain",35,"database.html?q=country_Spain"
"Germany",32,"database.html?q=country_Germany"
"Italy",31,"database.html?q=country_Italy"
"Brazil",24,"database.html?q=country_Brazil"
"France",16,"database.html?q=country_France"
"Ireland",12,"database.html?q=country_Ireland"
"Canada",9,"database.html?q=country_Canada"
"Netherlands",9,"database.html?q=country_Netherlands"
"New Zealand",8,"database.html?q=country_New Zealand"
"Argentina",5,"database.html?q=country_Argentina"
"Turkey",4,"database.html?q=country_Turkey"
"Belgium",3,"database.html?q=country_Belgium"
"Portugal",3,"database.html?q=country_Portugal"
"Chile",2,"database.html?q=country_Chile"
"Denmark",2,"database.html?q=country_Denmark"
"Israel",2,"database.html?q=country_Israel"
"Croatia",1,"database.html?q=country_Croatia"
"Ethiopia",1,"database.html?q=country_Ethiopia"
"Greece",1,"database.html?q=country_Greece"
"Kenya",1,"database.html?q=country_Kenya"
"South Korea",1,"database.html?q=country_South Korea"
