article_id,study_id,citation,citation_full,authors,title,year,journal,pub_type,email,suppl_articles,country,easting,northing,KPG_zone,site_id,soil_text_class,USDA_soil_class,FAO_soil_class,soil_comments,field_hist_descr,descr_field_history,interv_start,interv_end,last_meas_month,last_meas_year,total_months,interv_type,multiple_interv_codes,treatments,treatment_details,study_design,experimental_design,spatial_replic,temporal_replic,outcome,sampling_equip,open_closed,transp_opaque,sampling_equip_descr,quantif_method,comments,reviewer
1,a,Abdalla (2007),Abdalla MF. The Contribution of Nitrous Oxide Emissions from Irish Agriculture To Global Warming. University of Dublin. 2007.,Abdalla MF,The Contribution of Nitrous Oxide Emissions from Irish Agriculture To Global Warming,2007,University of Dublin,Thesis,,,Ireland,641120,5858013,Cfb,Ch3.1,Sandy loam,,,"The soil is classified as a free
 draining sandy loam derived from fluvial glacial gravels, with a low soil moisture holding
 capacity, a pH o f 7 and a mean organic carbon and nitrogen content at 15 cm o f 22.4 and
 2.3 g kg""' dry soil respectively",No,,September,2003,August,2004,12,Multiple-intervention,"Tillage, chemical fertilizer",4,"conventional tillage where inversion ploughing to a depth o f 22 cm was
 carried out in March five weeks prior to planting, and reduced tillage to a depth of 15 cm
 which was carried out in September of the year before. The treatments were were fertilized conventional plot, unfertilized conventional plots, fertilized reduced tillage plots, and unfertilized reduced tillage plot. Fertilizer was calcium ammonium nitrate (140 kg N ha-1 vs 0 kg N ha-1).",CI,Split/strip plot,2,Yes,N2O,Static chamber,,Opaque,"In each plot three N 2 O chambers were established along the
 diagonal as illustrated in Figure 3.1, one chamber in each plot being designated as a
 control (unfertilized). Chambers consisted o f two parts: a 52 x 52 x 15
 cm high square collar inserted permanently in the soil over which a 50 x 50 x 30 cm high
 lid with a plastic septum could be sealed in place for gas sample collection (Figure 2.2). Lids were placed on the collars and left for Ih before gas sampling, with an
 initial gas sample taken immediately after sealing of the lids.","Samples were taken using a 60 ml gas-tight syringe after flushing o f the syringe to ensure
 adequate mixing of air within the chamber. All 60 ml of the sample was then injected into
 a 3ml gas-tight vial with a vent needle inserted into the top, and stored until analysis. Gas samples were measured within one month of collection at the Ris0 Research Centre
 in Denmark using a gas chromatograph (Shimadzu GC 14B, Kyoto, Japan) with electron
 capture detection.","Sampling equipment description and quanitification method was taken from Chapter 2 of thesis, as this study was Chapter 3. Start and end dates for interventions are unclear ""conventional tillage where inversion ploughing to a depth o f 22 cm was
 carried out in March five weeks prior to planting, and reduced tillage to a depth o f 15 cm
 which was carried out in September o f the year before."" has exact dates for N2O measurements but not intervention.",JR
2,b,Abdalla (2007),Abdalla MF. The Contribution of Nitrous Oxide Emissions from Irish Agriculture To Global Warming. University of Dublin. 2007.,Abdalla MF,The Contribution of Nitrous Oxide Emissions from Irish Agriculture To Global Warming,2007,University of Dublin,Thesis,,,Ireland,641120,5858013,Cfb,Ch3.2,Sandy loam,,,"The soil is classified as a free
 draining sandy loam derived from fluvial glacial gravels, with a low soil moisture holding
 capacity, a pH o f 7 and a mean organic carbon and nitrogen content at 15 cm o f 22.4 and
 2.3 g kg""' dry soil respectively",No,,September,2004,July,2005,11,Multiple-intervention,"Tillage, chemical fertilizer",4,"conventional tillage where inversion ploughing to a depth o f 22 cm was
 carried out in March five weeks prior to planting, and reduced tillage to a depth of 15 cm
 which was carried out in September of the year before. The treatments were were fertilized conventional plot, unfertilized conventional plots, fertilized reduced tillage plots, and unfertilized reduced tillage plot. Fertilizer was calcium ammonium nitrate (140 kg N ha-1 vs 0 kg N ha-1).",CI,Split/strip plot,2,Yes,N2O,Static chamber,,Opaque,"In each plot three N 2 O chambers were established along the
 diagonal as illustrated in Figure 3.1, one chamber in each plot being designated as a
 control (unfertilized). Chambers consisted o f two parts: a 52 x 52 x 15
 cm high square collar inserted permanently in the soil over which a 50 x 50 x 30 cm high
 lid with a plastic septum could be sealed in place for gas sample collection (Figure 2.2). Lids were placed on the collars and left for Ih before gas sampling, with an
 initial gas sample taken immediately after sealing of the lids.","Samples were taken using a 60 ml gas-tight syringe after flushing o f the syringe to ensure
 adequate mixing of air within the chamber. All 60 ml of the sample was then injected into
 a 3ml gas-tight vial with a vent needle inserted into the top, and stored until analysis. Gas samples were measured within one month of collection at the Ris0 Research Centre
 in Denmark using a gas chromatograph (Shimadzu GC 14B, Kyoto, Japan) with electron
 capture detection.","Sampling equipment description and quanitification method was taken from Chapter 2 of thesis, as this study was Chapter 3. Start and end dates for interventions are unclear ""conventional tillage where inversion ploughing to a depth o f 22 cm was
 carried out in March five weeks prior to planting, and reduced tillage to a depth o f 15 cm
 which was carried out in September o f the year before."" has exact dates for N2O measurements but not intervention.",JR
,c,Abdalla (2007),Abdalla MF. The Contribution of Nitrous Oxide Emissions from Irish Agriculture To Global Warming. University of Dublin. 2007.,Abdalla MF,The Contribution of Nitrous Oxide Emissions from Irish Agriculture To Global Warming,2007,University of Dublin,Thesis,,,Ireland,641120,5858013,Cfb,Ch4.1,Sandy loam,,,"The soil is classified as a sandy loam to loamy soil w ith a pH o f 7
 and a mean organic carbon and nitrogen content at 15 cm o f 19.4 and 1.9 g kg'' dry soil
 respectively.",No,,April,2004,August,2004,5,Multiple-intervention,"Tillage, chemical fertilizer",6,"The experimental area was divided in to two blocks containing six randomized main
 plots, three conventional (C) and three reduced (L) tillage. Each m ain plot was divided
 into two subplots containing different fertilizer treatments (Ni = high N, N 2 = medium N
 and N3 = 0 N). In 2004, three rates o f N-fertilization (Ni = 140, N 2 = 70 and N 3 = 0 kg N ha""') were
 applied once on 27^'’ o f April 2004, whereas in 2005, two fertilizer applications took
 place on 12^'’ o f April 2005 (Ni = 106, N 2 = 53 and N 3 = 0 kg N h a '') and on the 10^ of
 May 2005 (Ni = 53, N 2 = 26 and N 3 = 0 kg N ha""'). The total am ount o f N-fertilization
 rates applied in 2005 were therefore Ni = 159, N 2 = 79 and N 3 = 0 kg N h a''. Fertilizer
 was applied in the form o f CAN.",CI,Randomized Complete Block,4,No,N2O,Static chamber,,Opaque,Nitrous oxide fluxes were measured from 24 chambers as described in Chapter 2.,"Samples were taken using a 60 ml gas-tight syringe after flushing o f the syringe to ensure
 adequate mixing of air within the chamber. All 60 ml of the sample was then injected into
 a 3ml gas-tight vial with a vent needle inserted into the top, and stored until analysis. Gas samples were measured within one month of collection at the Ris0 Research Centre
 in Denmark using a gas chromatograph (Shimadzu GC 14B, Kyoto, Japan) with electron
 capture detection.",,JR
,d,Abdalla (2007),Abdalla MF. The Contribution of Nitrous Oxide Emissions from Irish Agriculture To Global Warming. University of Dublin. 2007.,Abdalla MF,The Contribution of Nitrous Oxide Emissions from Irish Agriculture To Global Warming,2007,University of Dublin,Thesis,,,Ireland,641120,5858013,Cfb,Ch4.2,Sandy loam,,,"The soil is classified as a sandy loam to loamy soil w ith a pH o f 7
 and a mean organic carbon and nitrogen content at 15 cm o f 19.4 and 1.9 g kg'' dry soil
 respectively.",No,,April,2005,August,2005,5,Multiple-intervention,"Tillage, chemical fertilizer",6,"The experimental area was divided in to two blocks containing six randomized main
 plots, three conventional (C) and three reduced (L) tillage. Each m ain plot was divided
 into two subplots containing different fertilizer treatments (Ni = high N, N 2 = medium N
 and N3 = 0 N). In 2004, three rates o f N-fertilization (Ni = 140, N 2 = 70 and N 3 = 0 kg N ha""') were
 applied once on 27^'’ o f April 2004, whereas in 2005, two fertilizer applications took
 place on 12^'’ o f April 2005 (Ni = 106, N 2 = 53 and N 3 = 0 kg N h a '') and on the 10^ of
 May 2005 (Ni = 53, N 2 = 26 and N 3 = 0 kg N ha""'). The total am ount o f N-fertilization
 rates applied in 2005 were therefore Ni = 159, N 2 = 79 and N 3 = 0 kg N h a''. Fertilizer
 was applied in the form o f CAN.",CI,Randomized Complete Block,4,No,N2O,Static chamber,,Opaque,Nitrous oxide fluxes were measured from 24 chambers as described in Chapter 2.,"Samples were taken using a 60 ml gas-tight syringe after flushing o f the syringe to ensure
 adequate mixing of air within the chamber. All 60 ml of the sample was then injected into
 a 3ml gas-tight vial with a vent needle inserted into the top, and stored until analysis. Gas samples were measured within one month of collection at the Ris0 Research Centre
 in Denmark using a gas chromatograph (Shimadzu GC 14B, Kyoto, Japan) with electron
 capture detection.",,JR
3,,Abdalla (2012),"Abdalla M, Rueangritsarakul K, Jones M, Osborne B, Helmy M, Roth B, Burke J, Nolan P, Smith P, Williams M. How Effective is Reduced Tillage–Cover Crop Management in Reducing N2O Fluxes from Arable Crop Soils? Water Air Soil Pollution. 2012: 223; 5155-5174","Abdalla M, Rueangritsarakul K, Jones M, Osborne B, Helmy M, Roth B, Burke J, Nolan P, Smith P, Williams M.",How Effective is Reduced Tillage–Cover Crop Management in Reducing N2O Fluxes from Arable Crop Soils?,2012,Water Air Soil Pollution,Article,abdallm@tcd.ie,,Ireland,334389,5859532,Cfb,,Sandy loam,,,"sandy loam with a pH of 7, bulk density of 1.2 g cm_3 and organic C and N content at 10 cm depth of 16 and 1.95 g kg_1, respectively.",Yes,"The field trial was originally set up in 2003 to investigate the efficacy of reduced tillage and reduced N application on reducing N2O emissions from the
soil (Abdalla et al. 2010a). In 2005, a mustard cover
crop was sown on the reduced tillage treatments. Before, the implementation of reduced tillage in 2003 the
field had been under spring barley cultivation for three
consecutive years. From 1990 to 2000, it was under a
rotation of sugar beet, spring barley and oil seed rape",NR,2003,Oct,2008,70,Multiple-intervention,"Tillage, Chemical fertilizer",6,"tillage regimes; conventional tillage (CT), which involved inverting the soil to a depth of 22 cm using a moldboard plough, was carried out in March 5 weeks prior to planting, and a reduced tillage/mustard cover crop combination (RT–CC), where a chisel plough was used to disrupt the soil to a depth of approximately 10–15 cm each September following the barley harvest. The treatments included two management regimes: conventional and reduced tillage with a mustard cover crop and three N fertiliser application rates: 140, 70 and 0 kg N ha_1, applied in two equal applications (mid-April and early-May). N fertiliser was applied in the form of calcium ammonium nitrate (CAN) (15.5 % ammoniacal nitrogen, 11.1 % nitric nitrogen, 5 % sulphur).",CI,Randomized Complete Block,4 per treatment,No,N2O,Static chamber,,,Gas samples were analysed for N2O using a gas chromatograph (PerkinElmer Clarus 500 Gas Chromatograph) fitted with an electron capture detector. A full description of chamber design and N2O gas collection can be found in Abdalla et al. (2009).,gas chromatography; (PerkinElmer Clarus 500 Gas Chromatograph),,CRA
4,,Abdalla (2014),"Abdalla M, Hastings A, Helmy M, Prescher A, Osborne B, Lanigan G, Forristal D, Killi D, Maratha P, Williams M, Rueangritsarakul K, Smith P, Nolan P, Jones MB. Assessing the combined use of reduced tillage and cover crops for mitigating greenhouse gas emissions from arable ecosystem. Geoderma. 2014: 9(20); 223-225","Abdalla M, Hastings A, Helmy M, Prescher A, Osborne B, Lanigan G, Forristal D, Killi D, Maratha P, Williams M, Rueangritsarakul K, Smith P, Nolan P, Jones MB.",Assessing the combined use of reduced tillage and cover crops for mitigating greenhouse gas emissions from arable ecosystem,2014,Geoderma,Article,mabdalla@abdn.ac.uk,,Ireland,334389,5859532,Cfb,,Sandy loam,,,"free draining sandy loam eutric cambisol derived from fluvial glacial gravels with low soil moisture holding capacity (40%),with a pH of 7.3 and amean organic carbon and nitrogen content at 15 cm of 19.4 and 1.9 g kg_1 dry soil, respectively.",Yes,"Prior to the implementation of the experiment in 2007, the site was under spring barley cultivation for six consecutive years. From 1990 to 2000 it was under a rotation that included sugar beet, spring barley and oil seed rape",NR,2007,Sept,2010,45,Tillage,,2,"two different tillage regimes; conventional tillage (CT) and reduced tillage/mustard cover crop (RT–CC). With CT, the residue (≈3 tonnes ha_1) from the previous season's crop was left undisturbed over the autumn and winter period. Herbicide (glyphosate 3 l ha_1 of a 360 g product) was applied in January or early February to control over-wintering weeds and volunteer barley seedlings. The soil was inverted by ploughing to a depth of approximately 220 mm, generally in February or early March (depending on weather and soil conditions) from one to five weeks prior to sowing the crop (Table 1). The RT–CC management system began with a shallow (approx. 75 mm) non-inversion cultivation involving one passwith a tined stubble cultivator (Horsch Terrano FX) from mid to late August followed by rolling to encourage moisture conservation and volunteer growth (Table 1). Following a period of two to three weeks, the area was sprayed with glyphosate (1.08 kg ha_1) and the mustard cover crop (cv. ‘Rivona’ in 2008 and 2009; ‘Sunshine’ in 2010) was sown two days later using a cultivator drill (Vaderstad Rapide) at a seeding rate of 13 kg ha_1. The cover crop was sprayed with glyphosate herbicide in January to early February to ensure the vegetation had sufficient time to decay before sowing the spring barley crop. Both CT and RT–CC plots were sown with spring barley in March with a cultivator drill (Vaderstad Rapide) — the exact date depending on weather conditions and soil moisture content. The CT plots were rolled prior to sowing and all plots were rolled after sowing (Table 1). Phosphorus and potassium fertilizers were applied in accordance with recommendations based on soil nutrient status (Coulter and Lalor, 2008). Fertilizer N was applied at a rate of 63 kg N ha_1 at growth stage 12 (GS: Zadoks decimal scale), and subsequently another 72 kg N ha_1 was applied at GS 21–30, to give a total of 135 kg N ha_1 (Table 1). A fungal disease control programme consisting of two applications of a triazole broad-spectrum fungicide was applied each season when the crop was at growth stages 31 and 39. A weed control programme including broad leaf and grass-weed selective herbicides (mecoprop and iodosulfuron–methyl–sodium) was necessary because of grass growth in the RT–CC plots. Crops were harvested in August of each year when the grain moisture content was approximately 200 g kg_1",CI,Paired design,1 per treatment,No,"CH4, N2O, CO2",,,,"Measurements of soil-based CO2 emissions were carried out using an infra-red gas analyser (EGM 3) attached to a SRC-1 soil respiration chamber (both PP Systems, UK). Nitrous oxide and methane fluxes were measured following the methodology of Smith et al. (1995) using static steel chambers 14 cm high and 10 cmin diameter (1.4 l). Nitrous oxide and CH4 concentrations were measured using a gas chromatograph (Varian CP-3800; Varian, Mulgrave, Australia) with both an electron capture detector (ECD) and a Flame Ionisation Detector (FID) system (column and detector temperatures were 60 and 300 °C, respectively). The daily flux rate for each chamber and the average daily flux rate (all chambers) were calculated using the closed flux chamber equation (Baggs et al., 2003).","CO2: infra-red gas analyser (EGM 3), CH4 and N2O: gas chromatograph (Varian CP-3800; Varian, Mulgrave, Australia)",,CRA
5,,Afreh (2018),"Afreh D, Zhang J, Guan D, Liu K, Song Z, Zheng C, Deng A, Feng X, Zhang X, Wu Y, Huang Q, Zhang W. Long-term fertilization on nitrogen use efficiency and greenhouse gas emissions in a double maize cropping system in subtropical China. Soil & Tillage Research. 2018: 180; 259-267.","Afreh D, Zhang J, Guan D, Liu K, Song Z, Zheng C, Deng A, Feng X, Zhang X, Wu Y, Huang Q, Zhang W",Long-term fertilization on nitrogen use efficiency and greenhouse gas emissions in a double maize cropping system in subtropical China,2018,Soil & Tillage Research,Article,danafreh@yahoo.co.uk,,China,444604,3165648,Cfa,,,,,"soil was mainly formed by quaternary clay and had the following initial chemical properties in 1986: pH 6.0, organic C
9.39 g kg_1, total N 0.98 g kg_1, total P 0.42 g kg_1, total K
1.07 g kg_1, hydrolyzable N 60.3 mg kg_1, available P 12.9 mg kg_1, and available K 102 mg kg_1",No,,May,2015,October,2016,18,Multiple-intervention,"Chemical fertilizer, Organic fertilizer",5,"5 treatments; 1) no fertilizer (CK), 2) organic manure (OM), 3) Nitrogen (N), 4) Nitrogen, Phospohorus, and Potassium (NPK), and 5) NPK plus OM
 (NPKM)),",CI,Split/strip plot,3 per treatment,No,"CH4, N2O",Static chamber,Closed,,"The N2O and CH4 gases were measured using the static closed
 chamber method (Hutchinson and Livingston, 1993).
 A rectangular chamber base made from Polyvinyl chloride
 (PVC) (30 cm long; 15 cm wide; 10 cm high) was fitted, in between the
 rows of maize and at the center of each plot, into the soil at a depth of
 10 cm. The base troughs were filled with water to prevent air exchange
 between the gas chamber and the environment. The sampling chamber
 had an height of 30 cm with an internal battery operated fan for air
 mixing. The chamber was covered with a reflective film to minimize
 solar heating and reduce the fluctuation of chamber temperature.","gas chromatography (Agilent 7890 A, U.S.A.) equipped with an electron capture detector (ECD) to detect N2O
 and a flame ionization detector (FID) for CH4.",,CRA
6,a,Aita (2014),"Aita C, Gonzatto R, Miola ECC, dos Santos DB, Rochette P, Angers DA, Chantigny MH, Pujol SB, Giacomini DA, Giacomini SJ. Injection of Dicyandiamide-Treated Pig Slurry Reduced Ammonia Volatilization without Enhancing Soil Nitrous Oxide Emissions from No-Till Corn in Southern Brazil. Journal of Environmental Quality. 2014: 43; 789-800","Aita C, Gonzatto R, Miola ECC, dos Santos DB, Rochette P, Angers DA, Chantigny MH, Pujol SB, Giacomini DA, Giacomini SJ.",Injection of Dicyandiamide-Treated Pig Slurry Reduced Ammonia Volatilization without Enhancing Soil Nitrous Oxide Emissions from No-Till Corn in Southern Brazil.,2014,Journal of Environmental Quality,Article,celsoaita@gmail.com,,Brazil,238304,6709145,Cfa,Site 1,,,,Typic Paleudult with 103 g kg-1 clay and 687 g kg-1 sand in the top 10 cm.,Yes,"Before the experiment, the site had been under a NT winter/ summer (oat/corn) crop rotation for 12 yr",August,2011,NR,2013,29,Multiple-intervention,"Organic fertilizer, Nitrification inhibitor",6,"The addition of the nitrification inhibitor dicyandiamide (DCD) to PS just before its incorporation or injection into the soil has shown potential for reducing N2O emissions, which was tested using the following treatments; (i) control, (ii) surface broadcast of pig slurry (PSs), (iii) PSs + DCD, (iv) injected PS (PSi), (v) PSi + DCD, and (vi) surface application of urea (urea). At Site 1, Agrotain Plus, containing DCD (81.0%) and the urease inhibitor N-(n-butyl) thiophosphoric triamide (12.5%), was applied at 10 kg ha-1 because a product containing DCD alone was not available in Brazil in 2011; therefore, a rate of 8.1 kg DCD ha-1 (6.5–7.2% of applied NH4–N) was applied with pig slurry at Site 1. It was assumed that the urease inhibitor would not interfere with the results because all of the urea in PS was hydrolyzed at the time of application.",CI,Randomized Complete Block,4 per treatment,No,N2O,,,Opaque,"insulated, fan-mixed, non–flow-through, non–steady-state chambers (40 cm length, 35 cm width, and 20 cm height). One galvanized steel base per plot was placed adjacent to a maize row and inserted into the soil (5 cm). With PS injection (PSi and PSi + DCD), the bases were centered on the injection furrow and included the same amounts of PS as the broadcast treatment. The bases were left in place for the duration of the measurement period. Air samples were analyzed for N2O concentration within 32 h of sampling on a gas chromatograph (GC-2014, Shimadzu Corp.) equipped with an electron capture detector.","gas chromatograph (GC-2014, Shimadzu Corp.)",No soil class; Sampling date after harvest but unclear,CRA
,b,Aita (2014),"Aita C, Gonzatto R, Miola ECC, dos Santos DB, Rochette P, Angers DA, Chantigny MH, Pujol SB, Giacomini DA, Giacomini SJ. Injection of Dicyandiamide-Treated Pig Slurry Reduced Ammonia Volatilization without Enhancing Soil Nitrous Oxide Emissions from No-Till Corn in Southern Brazil. Journal of Environmental Quality. 2014: 43; 789-800","Aita C, Gonzatto R, Miola ECC, dos Santos DB, Rochette P, Angers DA, Chantigny MH, Pujol SB, Giacomini DA, Giacomini SJ.",Injection of Dicyandiamide-Treated Pig Slurry Reduced Ammonia Volatilization without Enhancing Soil Nitrous Oxide Emissions from No-Till Corn in Southern Brazil.,2014,Journal of Environmental Quality,Article,celsoaita@gmail.com,,Brazil,236440,6708362,Cfa,Site 2,,,,Typic Paleudult with 192 g kg-1 clay and 443 g kg-1 sand in the top 10 cm.,Yes,"For 5 yr before the experiment, the soil had been left uncultivated and under natural vegetation, which was dominated by South African lovegrass (Eragrostis plana Nees).",December,2011,NR,2013,25,Multiple-intervention,"Organic fertilizer, Nitrification inhibitor",6,"The addition of the nitrification inhibitor dicyandiamide (DCD) to PS just before its incorporation or injection into the soil has shown potential for reducing N2O emissions, which was tested using the following treatments; (i) control, (ii) surface broadcast of pig slurry (PSs), (iii) PSs + DCD, (iv) injected PS (PSi), (v) PSi + DCD, and (vi) surface application of urea (urea). At Site 2, DCD alone was applied with PS at 10 kg ha-1 (~8.4% of applied NH4–N).",CI,Randomized Complete Block,4 per treatment,No,N2O,,,Opaque,"insulated, fan-mixed, non–flow-through, non–steady-state chambers (40 cm length, 35 cm width, and 20 cm height). One galvanized steel base per plot was placed adjacent to a maize row and inserted into the soil (5 cm). With PS injection (PSi and PSi + DCD), the bases were centered on the injection furrow and included the same amounts of PS as the broadcast treatment. The bases were left in place for the duration of the measurement period. Air samples were analyzed for N2O concentration within 32 h of sampling on a gas chromatograph (GC-2014, Shimadzu Corp.) equipped with an electron capture detector.","gas chromatograph (GC-2014, Shimadzu Corp.)",No soil class; Sampling date after harvest but unclear,CRA
7,,Aita (2015),"Aita C, Schirmann J, Pujol B, Giacomini SJ, Rochette P, Angers DA, Chantigny MH, Gonzatto R, Giacomini DA, Doneda A. Reducing nitrous oxide emissions from a maize-wheat sequence by decreasing soil nitrate concentration: effects of split application of pig slurry and dicyandiamide. European Journal of Soil Science. 2015: 66; 359-368.","Aita C, Schirmann J, Pujol B, Giacomini SJ, Rochette P, Angers DA, Chantigny MH, Gonzatto R, Giacomini DA, Doneda A.",Reducing nitrous oxide emissions from a maize-wheat sequence by decreasing soil nitrate concentration: effects of split application of pig slurry and dicyandiamide.,2015,European Journal of Soil Science,Article,celsoaita@gmail.com,,Brazil,238304,6709145,Cfa,,Loam,,Acrisols,"Haplic Acrisol (Alumic, Rhodic) with 19.2% clay and 44.3% sand in the top 10 cm.",Yes,"For 5 years prior to the experiment, the soil had been left uncultivated and under natural vegetation, which was dominated by African grass (Eragrostis plana L.).",November,2010,November,2011,13,Multiple-intervention,"Organic fertilizer, Nitrification inhibitor",6,Treatments were applied to the same plots for both maize (12 November 2010) and wheat (1 June 2011) phases and included: (i) a no-N control; (ii) Pig slurry (PS) as a single pre-plant application (PSsi); (iii) PS as a single pre-plant application+ nitrification inhibitor dicyandiamide (DCD) (PSsi+DCD); (iv) PS split into two applications (one third at pre-planting and two thirds surface-broadcast at the four- to six-leaf (maize) and tillering (wheat) stages (PSsp); (v) PS split as described above+DCD (PSsp+DCD); and (vi) urea split into two applications as described for PSsp (Usp),CI,Randomized Complete Block,4 per treatment,No,N2O,,,,"using insulated, fan-mixed, non-flow-through non-steady-state chambers (40 cm length, 35 cm width and 20 cm height). Prior to treatment application, one galvanized steel base (40 _ 35 cm2) per plot was placed adjacent to a maize row and inserted into the soil (5 cm).","chromatograph (GC-2014, Shimadzu Corp., Kyoto, Japan) equipped with an electron capture detector.",,CRA
